ID;Tipo;SKU;Nombre;Publicado;¿Está destacado?;Visibilidad en el catálogo;Descripción corta;Descripción;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Estado del impuesto;Clase de impuesto;¿En inventario?;Inventario;Cantidad de bajo inventario;¿Permitir reservas de productos agotados?;¿Vendido individualmente?;Peso (g);Longitud (cm);Anchura (cm);Altura (cm);¿Permitir valoraciones de clientes?;Nota de compra;Precio rebajado;Precio normal;Categorías;Etiquetas;Clase de envío;Imágenes;Límite de descargas;Días de caducidad de la descarga;Superior;Productos agrupados;Ventas dirigidas;Ventas cruzadas;URL externa;Texto del botón;Posición;Nombre del atributo 1;Valor(es) del atributo 1;Atributo visible 1;Atributo global 1;Nombre del atributo 2;Valor(es) del atributo 2;Atributo visible 2;Atributo global 2;Nombre del atributo 3;Valor(es) del atributo 3;Atributo visible 3;Atributo global 3;Nombre del atributo 4;Valor(es) del atributo 4;Atributo visible 4;Atributo global 4;Nombre del atributo 5;Valor(es) del atributo 5;Atributo visible 5;Atributo global 5;Nombre del atributo 6;Valor(es) del atributo 6;Atributo visible 6;Atributo global 6
;simple;; GFTP-EN119 Orcustrated Return;1;0;visible;;;;;taxable;;1;1;;0;0;;;;;0;;;₡1 000;Avanzado;;;;;;;;;;;;0;Código;;1;1;Edición;1st Edition;1;1;Expansión;;1;1;Rareza;Ultra Rare;1;1;Estado;NM;1;;Tipo;Magia;1;1
;simple;; LDK2-ENJ24 Red-Eyes Fusion;1;0;visible;;;;;taxable;;1;1;;0;0;;;;;0;;;₡2 500;Avanzado;;;;;;;;;;;;0;Código;;1;1;Edición; 1st Edition ;1;1;Expansión;;1;1;Rareza;Common;1;1;Estado;NM;1;;Tipo; Magia ;1;1
;simple;;20AP-KR040 Phantom of Chaos (Korean);1;0;visible;;;;;taxable;;1;1;;0;0;;;;;0;;;₡500;Old School;;;;;;;;;;;;0;Código;;1;1;Edición;1st Edition;1;1;Expansión;;1;1;Rareza;Super Rare;1;1;Estado;NM;1;;Tipo;Monstruo;1;1
;simple;;ABPF-EN045 Cards of Consonance;1;0;visible;;;;;taxable;;1;2;;0;0;;;;;0;;;₡5 000;Old School;;;;;;;;;;;;0;Código;;1;1;Edición;Unlimited;1;1;Expansión;;1;1;Rareza;Super Rare;1;1;Estado;NM;1;;Tipo;Magia;1;1
;simple;;ABPF-EN064 Fiendish Chain;1;0;visible;;;;;taxable;;1;2;;0;0;;;;;0;;;₡2 000;Avanzado;;;;;;;;;;;;0;Código;;1;1;Edición;Unlimited;1;1;Expansión;;1;1;Rareza;Super Rare;1;1;Estado;NM;1;;Tipo;Trampa;1;1
;simple;;ABPF-EN083 Super-Nimble Mega Hamster;1;0;visible;;;;;taxable;;1;1;;0;0;;;;;0;;;₡4 000;Avanzado;;;;;;;;;;;;0;Código;;1;1;Edición;Unlimited;1;1;Expansión;;1;1;Rareza;Super Rare;1;1;Estado;NM;1;;Tipo;Monstruo;1;1
;simple;;ABPF-EN083 Super-Nimble Mega Hamster;1;0;visible;;;;;taxable;;1;1;;0;0;;;;;0;;;₡6 000;Avanzado;;;;;;;;;;;;0;Código;;1;1;Edición;1st Edition;1;1;Expansión;;1;1;Rareza;Super Rare;1;1;Estado;NM;1;;Tipo;Monstruo;1;1
;simple;;ABPF-EN090 Gale Dogra;1;0;visible;;;;;taxable;;1;1;;0;0;;;;;0;;;₡2 500;Avanzado;;;;;;;;;;;;0;Código;;1;1;Edición;1st Edition;1;1;Expansión;;1;1;Rareza;Rare;1;1;Estado;NM;1;;Tipo;Monstruo;1;1
;simple;;ABPF-EN096 Underground Arachnid;1;0;visible;;;;;taxable;;1;2;;0;0;;;;;0;;;₡2 000;Old School;;;;;;;;;;;;0;Código;;1;1;Edición;Unlimited;1;1;Expansión;;1;1;Rareza;Secret Rare;1;1;Estado;NM;1;;Tipo;Synchro;1;1
;simple;;ABPF-EN097 Zeman the Ape King;1;0;visible;;;;;taxable;;1;1;;0;0;;;;;0;;;₡5 000;Old School;;;;;;;;;;;;0;Código;;1;1;Edición;1st Edition;1;1;Expansión;;1;1;Rareza;Secret Rare;1;1;Estado;NM;1;;Tipo;Synchro;1;1
